variable,level,n,percent
CONTROL_LABEL,Private nonprofit,1042,62.43259436788496
CONTROL_LABEL,Public,553,33.13361294188137
CONTROL_LABEL,Private for-profit,74,4.433792690233673
LOCALE4,City,825,49.4307968843619
LOCALE4,Suburb,391,23.42720191731576
LOCALE4,Town,314,18.813660874775316
LOCALE4,Rural,139,8.328340323547033
REGION_LABEL,5,416,24.92510485320551
REGION_LABEL,2,346,20.7309766327142
REGION_LABEL,3,249,14.919113241461954
REGION_LABEL,4,178,10.665068903535051
REGION_LABEL,8,167,10.005991611743559
REGION_LABEL,1,134,8.028759736369084
REGION_LABEL,6,128,7.669263031755542
REGION_LABEL,7,46,2.756141402037148
REGION_LABEL,0,5,0.2995805871779509
