term,coefficient,std_error_hc3,t,p_value,ci_lower,ci_upper,standardized_beta
Intercept,-0.22445302954839735,0.5509863906607234,-0.4073658321746227,0.6837923861020824,-1.3051626379470411,0.8562565788502465,
C(CONTROL_LABEL)[T.Private nonprofit],0.027361081099125367,0.02301232198763314,1.1889752417782637,0.23462121942001024,-0.017775491972626404,0.07249765417087714,
C(CONTROL_LABEL)[T.Public],-0.06239998728341035,0.024370157350788464,-2.560508181593316,0.010540625846763579,-0.11019983071620632,-0.014600143850614387,
C(REGION_LABEL)[T.1],-0.16923110513579898,0.5005428747114601,-0.33809512368616357,0.7353346996801051,-1.1510003525893984,0.8125381423178005,
C(REGION_LABEL)[T.2],-0.18388546950420176,0.5005546710262632,-0.36736340733209066,0.7133952754262978,-1.1656778543546,0.7979069153461964,
C(REGION_LABEL)[T.3],-0.19373995232446303,0.5005980852152155,-0.38701696639764605,0.6987937691871776,-1.1756174901512992,0.7881375855023732,
C(REGION_LABEL)[T.4],-0.18819292529603682,0.5004952326354747,-0.37601342235581936,0.7069554619196339,-1.1698687271579589,0.7934828765658853,
C(REGION_LABEL)[T.5],-0.2215262205299237,0.5005372209605355,-0.4425769178659938,0.6581300398706059,-1.2032843786661622,0.7602319376063147,
C(REGION_LABEL)[T.6],-0.24104913966864294,0.5006250047924226,-0.4814964042169462,0.630227856573484,-1.2229794777936984,0.7408811984564126,
C(REGION_LABEL)[T.7],-0.21967402048970475,0.5008255089134783,-0.43862386515870383,0.6609917700135001,-1.20199762918155,0.7626495882021405,
C(REGION_LABEL)[T.8],-0.16517962729483787,0.5006482788989586,-0.32993147935733663,0.741493796813904,-1.1471556154595073,0.8167963608698317,
C(LOCALE4)[T.Rural],-0.023734412887755796,0.012234718025294187,-1.9399231628131532,0.05255996493458098,-0.04773169766665558,0.0002628718911439898,
C(LOCALE4)[T.Suburb],-0.0007121844315446172,0.008051349783717984,-0.08845528398043861,0.9295256031873357,-0.016504173524792873,0.015079804661703639,
C(LOCALE4)[T.Town],-0.008235179806064996,0.006996507839954676,-1.177041460460701,0.2393494439454913,-0.021958192526593978,0.005487832914463985,
LOG_NET_PRICE,0.022680856946971573,0.012693902534350498,1.786752094999607,0.07416187910655676,-0.0022170764130481357,0.04757879030699128,0.05595755544654226
PCTPELL,-0.3463404433954727,0.04073882092376827,-8.501484224188902,4.139496967213571e-17,-0.4262459291813424,-0.266434957609603,-0.29672041588868187
PCTFLOAN,-0.020497702401019138,0.030188703314715525,-0.6789858506783729,0.49724245880546514,-0.07971009365116606,0.03871468884912778,-0.02216798160024609
LOG_UGDS,0.04712069981281415,0.005116162117462949,9.210165497292884,9.623517084926607e-20,0.037085813920556314,0.05715558570507199,
ADM_RATE_SUPP,-0.14601904560356183,0.019500000771650598,-7.488155888478044,1.1338242952566842e-13,-0.18426652059551718,-0.10777157061160647,
LOG_INEXPFTE,0.05589136112825751,0.017733353852531487,3.151764837776519,0.0016521585471391744,0.021109003120136173,0.09067371913637884,
LOG_AVGFACSAL,0.0174003870792426,0.023378706251985053,0.7442835754765154,0.4568113688529935,-0.028454815348084302,0.0632555895065695,
STUFACR,-0.0022204577857110643,0.0010734346621695478,-2.068554206385731,0.03874406341605269,-0.004325902081719294,-0.00011501348970283445,
LOG_NET_PRICE_MISSING,0.024950212785641843,0.04198895454779305,0.5942089545773945,0.5524541713143253,-0.057407296211991185,0.10730772178327487,
PCTPELL_MISSING,-0.03278344872085904,0.5038440581909099,-0.06506665740699709,0.9481288432798889,-1.0210276668194689,0.9554607693777507,
ADM_RATE_SUPP_MISSING,-0.05462405276931411,0.015123512081021986,-3.6118629374363445,0.0003131449416978661,-0.08428744390878333,-0.024960661629844894,
LOG_AVGFACSAL_MISSING,0.06561451921649027,0.04408767070535817,1.4882736639682768,0.13687063709166988,-0.020859430323462297,0.15208846875644283,
