term,VIF
C(REGION_LABEL)[T.5],318.50493155954985
C(REGION_LABEL)[T.2],279.59519933434154
C(REGION_LABEL)[T.3],216.14440057951654
C(REGION_LABEL)[T.4],162.70680186804663
C(REGION_LABEL)[T.8],153.77901800992345
C(REGION_LABEL)[T.1],126.16731457643166
C(REGION_LABEL)[T.6],121.31747976210472
C(REGION_LABEL)[T.7],46.49803662718335
C(CONTROL_LABEL)[T.Public],9.827613856694146
C(CONTROL_LABEL)[T.Private nonprofit],8.059586396589346
PCTPELL_MISSING,5.287347997037553
LOG_AVGFACSAL,3.067671900633726
LOG_UGDS,3.021973611489606
LOG_NET_PRICE,2.4296774890777995
PCTPELL,2.304952571856871
PCTFLOAN,1.9437704659983248
LOG_INEXPFTE,1.8527110832098492
STUFACR,1.719592212420068
ADM_RATE_SUPP_MISSING,1.5928798126329244
ADM_RATE_SUPP,1.4678657324242228
LOG_NET_PRICE_MISSING,1.4289678171315279
C(LOCALE4)[T.Town],1.2672458354430989
C(LOCALE4)[T.Suburb],1.2172766202105068
C(LOCALE4)[T.Rural],1.1850212597309595
LOG_AVGFACSAL_MISSING,1.1256815393069068
