model,fold,MAE,RMSE,R2
OLS,1,0.08822891928767247,0.11987333855668252,0.6101717861472873
OLS,2,0.09279824182761698,0.1301513581604136,0.5486798742063368
OLS,3,0.0833752204514357,0.11297328971728487,0.6325258783540002
OLS,4,0.09350059819244846,0.1303039581316459,0.5565498358685372
OLS,5,0.07794474518672065,0.1026780714215819,0.70068794644392
Elastic net,1,0.08824951271705633,0.11966785130129626,0.6115071301497166
Elastic net,2,0.09269012522062091,0.1300325496677014,0.549503472067446
Elastic net,3,0.08327150220750743,0.11278043799150306,0.6337794052873245
Elastic net,4,0.09353902611480532,0.1302792038597889,0.5567183072393191
Elastic net,5,0.07810081046165104,0.10291278430104282,0.6993179813030577
Random forest,1,0.08273914157303368,0.11000340554172365,0.671723097316694
Random forest,2,0.08631299325842694,0.11770727017154783,0.6308576545912612
Random forest,3,0.07058764494382022,0.09451914724361211,0.7427740384741952
Random forest,4,0.08992141123595505,0.12200923514505507,0.611210065339027
Random forest,5,0.06724765992509363,0.09157749063977648,0.7619071908830164
Gradient boosting,1,0.08548841616758372,0.11375008791300734,0.6489802535588735
Gradient boosting,2,0.08660976616549551,0.11808848411520234,0.628462728860298
Gradient boosting,3,0.07135780952015011,0.09493692005031493,0.740495145677263
Gradient boosting,4,0.088999206232222,0.12501485337717802,0.5918189528487878
Gradient boosting,5,0.06658369920316765,0.08929283415249989,0.7736387850184334
